chemical_name,inchi,chebi_identifier,var1_levels,treatment,sample_size,sample_mean,unit,sem
geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",CHEBI:17447,LineC,LineC,08-Dec,20.1,µg per g of fresh weight,5.4
geranial,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",CHEBI:16980,LineC,LineC,08-Dec,2.6,µg per g of fresh weight,1.3
geranyl acetate,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",CHEBI:5331,LineC,LineC,08-Dec,2.2,µg per g of fresh weight,0.5
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",CHEBI:29452,LineC,LineC,08-Dec,0.5,µg per g of fresh weight,0.2
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",CHEBI:29020,LineC,LineC,08-Dec,0.1,µg per g of fresh weight,0.1
citronellol,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",CHEBI:50462,LineC,LineC,08-Dec,0.7,µg per g of fresh weight,0.2
citronellal,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",CHEBI:47856,LineC,LineC,08-Dec,0.6,µg per g of fresh weight,0.2
linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CHEBI:17580,LineC,LineC,08-Dec,0.2,µg per g of fresh weight,0.1
limonene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",CHEBI:15384,LineC,LineC,08-Dec,0.9,µg per g of fresh weight,0.3
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",CHEBI:17221,LineC,LineC,08-Dec,0.1,µg per g of fresh weight,0
ß-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",CHEBI:50025,LineC,LineC,08-Dec,0.2,µg per g of fresh weight,0
